id,is_fraud,days_since_policy_start,claim_amount,num_prior_claims_12mo,submission_delay_days,incident_time_of_day,provider_claim_frequency,claim_vs_policy_limit_ratio
TRAIN-02800,False,263,4225.19,1,13,17,2,0.069
TRAIN-02801,False,150,21301.62,0,11,21,2,0.399
TRAIN-02802,False,84,44640.5,0,8,15,1,0.519
TRAIN-02803,False,70,44280.73,1,48,19,1,0.476
TRAIN-02804,False,27,45914.56,1,3,7,1,0.707
TRAIN-02805,False,284,25851.18,0,2,23,6,0.296
TRAIN-02806,False,351,53310.83,0,90,8,2,0.957
TRAIN-02807,False,268,22142.95,0,83,15,2,0.276
TRAIN-02808,False,264,58347.68,0,85,20,3,1.009
TRAIN-02809,False,288,68357.48,0,62,16,3,1.008
TRAIN-02810,False,267,9918.17,1,14,7,1,0.327
TRAIN-02811,False,299,34975.68,1,84,8,5,0.737
TRAIN-02812,False,277,14471.09,1,57,8,2,0.153
TRAIN-02813,False,298,39919.51,4,33,16,5,0.474
TRAIN-02814,False,106,32196.33,2,20,22,10,0.326
TRAIN-02815,False,54,6683.51,2,81,6,1,0.107
TRAIN-02816,False,223,63744.64,0,10,13,3,0.644
TRAIN-02817,False,276,6444.08,4,43,6,6,0.241
TRAIN-02818,False,317,49423.49,3,73,11,5,0.846
TRAIN-02819,False,296,4001.06,0,71,19,6,0.058
TRAIN-02820,False,114,61821.89,0,80,16,4,0.946
TRAIN-02821,False,11,56713.54,1,1,16,1,0.751
TRAIN-02822,False,11,56086.6,0,73,13,4,1.81
TRAIN-02823,False,128,71910.18,1,73,21,2,0.979
TRAIN-02824,False,162,26542.35,0,54,7,3,0.346
TRAIN-02825,False,168,62063.21,2,64,9,1,1.252
TRAIN-02826,False,70,22800.6,2,26,18,1,0.449
TRAIN-02827,False,357,59733.07,1,26,18,4,1.683
TRAIN-02828,False,226,6375.51,2,65,18,3,0.157
TRAIN-02829,False,124,59986.7,0,0,16,2,0.611
TRAIN-02830,False,221,7230.89,1,37,20,3,0.23
TRAIN-02831,False,172,64627.68,3,30,21,3,1.248
TRAIN-02832,False,60,8044.02,0,50,7,3,0.092
TRAIN-02833,False,123,35629.49,0,3,11,2,0.629
TRAIN-02834,False,333,28676.67,0,31,15,1,0.92
TRAIN-02835,False,131,19603.64,3,87,19,1,0.213
TRAIN-02836,False,320,74938.61,1,41,12,2,0.829
TRAIN-02837,False,326,68968.94,1,33,7,8,0.709
TRAIN-02838,False,20,14573.75,1,0,10,2,0.355
TRAIN-02839,False,136,11131.89,1,54,10,7,0.176
TRAIN-02840,False,53,20115.64,0,34,20,1,0.246
TRAIN-02841,False,118,44602.34,2,2,19,3,1.572
TRAIN-02842,False,254,30458.83,2,84,6,3,0.802
TRAIN-02843,False,275,57383.09,0,78,22,2,1.269
TRAIN-02844,False,164,56702.71,0,90,13,5,0.687
TRAIN-02845,False,276,56271.94,1,62,9,2,0.614
TRAIN-02846,False,11,48314.36,1,70,23,9,0.574
TRAIN-02847,False,197,63016.21,3,4,12,2,1.551
TRAIN-02848,False,258,57120.5,4,64,21,1,0.948
TRAIN-02849,False,334,56182.26,4,28,13,1,1.214
TRAIN-02850,False,244,33988.28,3,12,13,4,0.483
TRAIN-02851,False,319,68529.25,4,44,12,2,0.942
TRAIN-02852,False,215,72714.68,0,16,18,1,1.622
TRAIN-02853,False,86,72756.69,4,8,11,5,1.714
TRAIN-02854,False,44,46035.38,2,45,20,2,1.802
TRAIN-02855,False,144,5438.21,0,88,21,3,0.062
TRAIN-02856,False,140,7928.01,0,34,17,10,0.184
TRAIN-02857,False,283,48421.87,0,61,15,1,0.667
TRAIN-02858,False,74,11242.78,0,59,6,3,0.14
TRAIN-02859,False,244,11751.24,0,32,19,1,0.307
TRAIN-02860,False,41,74393.26,3,18,11,1,1.658
TRAIN-02861,False,356,48603.62,0,53,9,1,0.558
TRAIN-02862,False,27,3140.73,0,67,19,1,0.059
TRAIN-02863,False,26,35879.39,0,51,20,3,0.951
TRAIN-02864,False,78,58538.18,0,42,13,2,0.687
TRAIN-02865,False,70,5720.84,0,52,23,3,0.222
TRAIN-02866,False,239,35946.81,0,7,9,2,1.02
TRAIN-02867,False,289,72444.42,0,59,12,3,2.285
TRAIN-02868,False,18,49248.96,0,11,9,1,0.573
TRAIN-02869,False,290,3573.61,1,9,18,2,0.092
TRAIN-02870,False,13,60417.74,0,90,14,4,0.716
TRAIN-02871,False,254,8766.47,0,8,21,5,0.148
TRAIN-02872,False,157,18743.44,0,18,13,4,0.399
TRAIN-02873,False,68,14183.2,0,82,18,1,0.28
TRAIN-02874,False,110,68397.03,0,10,10,7,0.731
TRAIN-02875,False,341,54916.69,1,39,20,4,0.906
TRAIN-02876,False,93,28499.16,0,86,11,2,0.396
TRAIN-02877,False,162,7530.82,4,60,19,1,0.126
TRAIN-02878,False,154,54154.91,0,86,10,1,1.065
TRAIN-02879,False,355,27252.23,1,14,18,1,0.828
TRAIN-02880,False,295,50222.41,0,68,8,1,0.877
TRAIN-02881,False,208,74505.9,2,77,23,6,1.688
TRAIN-02882,False,285,32383.01,3,65,19,1,0.542
TRAIN-02883,False,31,68135.17,1,34,15,2,2.545
TRAIN-02884,False,119,33154.99,2,11,9,3,0.536
TRAIN-02885,False,318,63554.62,0,55,15,1,1.15
TRAIN-02886,False,271,70030.1,2,25,18,3,0.878
TRAIN-02887,False,66,62603.63,2,29,14,2,0.99
TRAIN-02888,False,139,33954.03,4,64,11,1,0.499
TRAIN-02889,False,271,31061.27,0,23,10,4,1.207
TRAIN-02890,False,34,74841.39,0,62,10,5,1.441
TRAIN-02891,False,169,611.01,0,27,6,1,0.023
TRAIN-02892,False,266,28579.3,2,51,20,1,0.857
TRAIN-02893,False,3,750.22,1,72,8,1,0.022
TRAIN-02894,False,2,2224.13,4,11,18,3,0.028
TRAIN-02895,False,78,61619.8,0,63,12,7,0.764
TRAIN-02896,False,298,50657.43,4,73,20,4,0.71
TRAIN-02897,False,199,1163.53,2,43,15,2,0.013
TRAIN-02898,False,43,70738.8,3,70,19,2,1.595
TRAIN-02899,False,126,3526.97,0,76,22,1,0.085
TRAIN-02900,False,223,9346.18,0,31,20,1,0.29
TRAIN-02901,False,44,24216.39,2,71,17,3,0.487
TRAIN-02902,False,73,57062.6,4,39,10,8,1.456
TRAIN-02903,False,134,60466.53,2,8,17,1,0.736
TRAIN-02904,False,143,31259.03,0,41,18,7,0.443
TRAIN-02905,False,129,21612.07,3,34,18,2,0.598
TRAIN-02906,False,28,7614.04,1,34,6,5,0.098
TRAIN-02907,False,277,68313.61,2,19,10,3,1.076
TRAIN-02908,False,306,69221.97,0,0,10,8,1.274
TRAIN-02909,False,18,40050.44,1,8,21,1,0.811
TRAIN-02910,False,70,35333.89,2,45,12,2,0.955
TRAIN-02911,False,114,26160.84,1,1,15,1,0.366
TRAIN-02912,False,287,71306.12,1,42,9,2,0.932
TRAIN-02913,False,36,47311.46,2,41,17,3,1.017
TRAIN-02914,False,204,9024.46,0,59,11,1,0.201
TRAIN-02915,False,210,2253.11,0,71,13,2,0.038
TRAIN-02916,False,16,7184.96,3,22,12,9,0.208
TRAIN-02917,False,322,32327.57,0,16,6,3,0.721
TRAIN-02918,False,273,53792.09,0,54,19,4,1.286
TRAIN-02919,False,133,23748.21,2,39,11,6,0.241
TRAIN-02920,False,215,74074.39,3,38,18,5,2.755
TRAIN-02921,False,319,7064.39,0,46,21,4,0.083
TRAIN-02922,False,105,72320.9,0,19,14,1,1.081
TRAIN-02923,False,216,6689.02,5,68,11,1,0.137
TRAIN-02924,False,52,56334.27,0,58,11,2,0.569
TRAIN-02925,False,261,29702.85,1,49,17,7,0.355
TRAIN-02926,False,79,64266.47,0,9,20,6,1.155
TRAIN-02927,False,280,33428.84,3,34,15,2,0.383
TRAIN-02928,False,340,12393.46,0,26,17,1,0.221
TRAIN-02929,False,56,60567.59,0,72,21,10,0.618
TRAIN-02930,False,65,18029.36,3,26,15,1,0.227
TRAIN-02931,False,194,41302.44,4,19,8,2,0.567
TRAIN-02932,False,130,45542.79,2,20,17,1,0.543
TRAIN-02933,False,9,72757.29,2,35,15,3,2.303
TRAIN-02934,False,64,8030.11,2,63,12,2,0.259
TRAIN-02935,False,76,35038.15,0,85,19,1,0.836
TRAIN-02936,False,347,44213.57,0,64,11,4,0.684
TRAIN-02937,False,142,44208.14,1,2,18,2,0.491
TRAIN-02938,False,10,26375.09,0,12,7,1,0.711
TRAIN-02939,False,190,23669.66,2,35,8,5,0.607
TRAIN-02940,False,16,9325.56,1,39,22,2,0.107
TRAIN-02941,False,123,37502.01,0,82,22,2,0.379
TRAIN-02942,False,104,12655.1,5,25,9,3,0.191
TRAIN-02943,False,304,46905.87,4,6,8,1,1.026
TRAIN-02944,False,7,16134.32,4,60,9,1,0.199
TRAIN-02945,False,255,56191.62,1,59,23,2,0.673
TRAIN-02946,False,54,66404.64,2,19,17,3,0.932
TRAIN-02947,False,27,54271.01,0,74,15,5,0.746
TRAIN-02948,False,269,24984.93,0,1,9,1,0.258
TRAIN-02949,False,175,17147.54,1,90,9,1,0.182
TRAIN-02950,False,286,39872.1,3,56,22,4,0.66
TRAIN-02951,False,240,45106.45,0,29,20,1,0.803
TRAIN-02952,False,219,2548.03,2,14,21,8,0.07
TRAIN-02953,False,104,50925.03,3,75,18,1,0.824
TRAIN-02954,False,62,40392.8,1,29,7,2,0.716
TRAIN-02955,False,55,67525.44,0,36,23,1,0.852
TRAIN-02956,False,282,27792.06,0,64,7,1,0.376
TRAIN-02957,False,343,65175.43,0,17,12,5,0.67
TRAIN-02958,False,84,72785.7,0,74,7,4,1.352
TRAIN-02959,False,343,57374.67,1,58,14,2,0.95
TRAIN-02960,False,200,60163.1,2,45,8,2,0.784
TRAIN-02961,False,126,43565.78,5,46,10,1,1.496
TRAIN-02962,False,60,62985.35,3,18,18,1,1.032
TRAIN-02963,False,5,16710.13,0,83,22,4,0.182
TRAIN-02964,False,81,21514.16,0,88,9,3,0.239
TRAIN-02965,False,296,10703.04,1,37,22,1,0.4
TRAIN-02966,False,155,68509.17,2,76,8,5,1.406
TRAIN-02967,False,118,3990.38,0,9,18,2,0.076
TRAIN-02968,False,282,74192.55,2,51,13,1,0.824
TRAIN-02969,False,315,64756.38,0,70,8,1,1.31
TRAIN-02970,False,61,66094.6,0,63,19,1,0.664
TRAIN-02971,False,252,38164.54,3,54,9,2,0.877
TRAIN-02972,False,173,24410.9,2,14,10,2,0.794
TRAIN-02973,False,230,68116.75,0,12,10,1,1.287
TRAIN-02974,False,289,37582.42,0,46,14,1,0.422
TRAIN-02975,False,328,3898.28,2,76,20,1,0.049
TRAIN-02976,False,10,11936.37,2,55,17,4,0.21
TRAIN-02977,False,237,35408.0,0,8,20,1,0.595
TRAIN-02978,False,32,62104.8,1,46,18,5,0.761
TRAIN-02979,False,247,40101.12,1,29,21,3,1.355
TRAIN-02980,False,51,36757.36,0,29,22,1,0.944
TRAIN-02981,False,227,22589.76,0,38,22,5,0.29
TRAIN-02982,False,344,13989.56,0,72,11,2,0.169
TRAIN-02983,False,202,51551.21,1,18,20,1,0.809
TRAIN-02984,False,154,74778.86,1,54,14,1,1.28
TRAIN-02985,False,194,51397.85,0,8,12,7,1.265
TRAIN-02986,False,281,72533.69,1,53,10,2,2.108
TRAIN-02987,False,271,32627.18,1,60,7,2,0.433
TRAIN-02988,False,16,59901.17,1,66,18,3,1.408
TRAIN-02989,False,30,52197.17,2,30,14,1,0.621
TRAIN-02990,False,352,39599.56,3,18,21,1,0.703
TRAIN-02991,False,43,71795.99,0,57,19,7,0.863
TRAIN-02992,False,161,14792.98,2,41,19,2,0.184
TRAIN-02993,False,257,44855.72,1,90,16,2,1.215
TRAIN-02994,False,40,44208.89,3,30,22,1,0.5
TRAIN-02995,False,245,16149.31,1,16,20,4,0.419
TRAIN-02996,False,362,13616.75,4,18,21,1,0.166
TRAIN-02997,False,238,62344.86,2,62,19,3,0.638
TRAIN-02998,False,55,32008.61,0,37,11,3,0.487
TRAIN-02999,False,59,22026.78,3,51,23,1,0.415
TRAIN-03000,False,54,62748.15,4,1,12,3,0.734
TRAIN-03001,False,96,2704.3,0,52,23,1,0.027
TRAIN-03002,False,137,14236.66,0,63,8,1,0.216
TRAIN-03003,False,37,34067.98,3,2,12,5,1.098
TRAIN-03004,False,100,33700.79,2,43,6,7,0.719
TRAIN-03005,False,102,16046.55,1,58,11,1,0.349
TRAIN-03006,False,296,17178.82,0,56,11,3,0.205
TRAIN-03007,False,222,73427.15,4,0,23,1,1.092
TRAIN-03008,False,204,56839.29,0,7,11,6,0.798
TRAIN-03009,False,314,61412.96,1,13,13,4,1.467
TRAIN-03010,False,237,52703.22,5,63,11,2,1.672
TRAIN-03011,False,294,9281.53,0,44,7,1,0.112
TRAIN-03012,False,220,4932.73,3,53,20,2,0.099
TRAIN-03013,False,88,34294.49,0,82,15,2,0.849
TRAIN-03014,False,251,20225.74,2,75,17,1,0.255
TRAIN-03015,False,259,64507.6,1,0,19,4,0.648
TRAIN-03016,False,212,63563.32,0,5,23,1,0.809
TRAIN-03017,False,53,42595.83,3,21,7,1,0.514
TRAIN-03018,False,191,58358.9,4,30,7,1,0.889
TRAIN-03019,False,18,44066.23,0,20,17,7,1.012
TRAIN-03020,False,89,988.76,0,45,8,1,0.012
TRAIN-03021,False,334,60499.37,0,7,9,3,0.759
TRAIN-03022,False,173,21634.15,2,87,7,1,0.391
TRAIN-03023,False,259,61080.37,3,36,12,3,0.748
TRAIN-03024,False,126,14859.73,0,31,18,6,0.214
TRAIN-03025,False,68,1039.56,1,44,23,10,0.025
TRAIN-03026,False,65,62458.17,2,34,8,1,0.912
TRAIN-03027,False,228,58615.64,2,50,16,6,0.827
TRAIN-03028,False,315,10475.35,0,18,13,8,0.19
TRAIN-03029,False,39,36343.6,0,47,14,1,0.391
TRAIN-03030,False,197,14077.8,2,34,8,3,0.152
TRAIN-03031,False,176,46848.99,2,75,10,1,0.801
TRAIN-03032,False,360,17566.46,1,29,18,1,0.309
TRAIN-03033,False,141,35772.21,0,65,18,1,1.093
TRAIN-03034,False,73,52740.85,3,54,9,2,0.639
TRAIN-03035,False,14,835.96,1,84,23,6,0.017
TRAIN-03036,False,71,20650.92,0,90,9,1,0.269
TRAIN-03037,False,170,26919.62,0,34,12,4,0.759
TRAIN-03038,False,298,48168.62,0,85,7,2,0.829
TRAIN-03039,False,303,34844.16,0,59,10,2,0.432
TRAIN-03040,False,68,11922.74,0,69,13,4,0.27
TRAIN-03041,False,346,24439.54,4,14,11,4,0.25
TRAIN-03042,False,155,57988.73,1,5,19,2,1.081
TRAIN-03043,False,295,15271.43,0,30,11,3,0.154
TRAIN-03044,False,221,26894.62,0,79,7,1,0.448
TRAIN-03045,False,278,50080.66,4,35,7,6,1.001
TRAIN-03046,False,258,59027.96,0,67,22,1,0.734
TRAIN-03047,False,88,72963.21,0,55,21,1,0.867
TRAIN-03048,False,10,55604.38,0,61,10,3,0.667
TRAIN-03049,False,186,23233.2,0,81,16,4,0.749
TRAIN-03050,False,300,29688.36,1,22,11,5,1.158
TRAIN-03051,False,55,40229.63,0,84,18,1,0.441
TRAIN-03052,False,154,33818.05,1,24,14,6,0.46
TRAIN-03053,False,47,63905.58,0,20,13,6,2.026
TRAIN-03054,False,292,43218.13,1,1,19,2,0.495
TRAIN-03055,False,228,3461.93,1,0,14,6,0.038
TRAIN-03056,False,27,72234.04,0,24,11,1,0.824
TRAIN-03057,False,332,3430.69,2,78,8,1,0.042
TRAIN-03058,False,295,16860.65,0,25,23,3,0.481
TRAIN-03059,False,153,62808.37,0,75,13,2,2.469
TRAIN-03060,False,24,31780.47,0,67,10,2,0.427
TRAIN-03061,False,165,30298.08,1,87,19,5,1.041
TRAIN-03062,False,224,65337.98,0,27,22,4,1.267
TRAIN-03063,False,8,43147.0,0,22,12,1,1.359
TRAIN-03064,False,218,49598.09,3,86,9,1,0.551
TRAIN-03065,False,102,59094.3,0,82,14,1,1.847
TRAIN-03066,False,223,22825.44,4,12,18,2,0.247
TRAIN-03067,False,148,9164.66,2,58,11,2,0.123
TRAIN-03068,False,199,39490.24,1,53,7,2,0.513
TRAIN-03069,False,129,45528.18,0,5,14,5,0.531
TRAIN-03070,False,243,24920.64,0,65,23,2,0.25
TRAIN-03071,False,254,46669.33,1,22,15,3,1.662
TRAIN-03072,False,87,21883.82,0,39,14,4,0.71
TRAIN-03073,False,255,13032.26,0,54,16,4,0.208
TRAIN-03074,False,200,43158.66,1,1,11,2,0.918
TRAIN-03075,False,275,28044.37,0,17,19,3,0.998
TRAIN-03076,False,353,35336.98,0,55,14,1,1.364
TRAIN-03077,False,2,44873.7,0,43,16,2,0.469
TRAIN-03078,False,90,7307.08,2,30,16,4,0.104
TRAIN-03079,False,17,43825.55,0,68,8,1,0.768
TRAIN-03080,False,157,36910.29,1,52,9,1,0.624
TRAIN-03081,False,268,20013.34,0,6,18,4,0.642
TRAIN-03082,False,232,63321.48,4,44,19,1,1.13
TRAIN-03083,False,240,10287.33,3,29,18,3,0.12
TRAIN-03084,False,35,27896.85,0,88,8,2,0.323
TRAIN-03085,False,312,43058.38,4,19,20,2,0.558
TRAIN-03086,False,296,63312.69,0,66,15,2,0.819
TRAIN-03087,False,333,63173.69,1,2,15,8,1.209
TRAIN-03088,False,220,2978.33,3,29,13,2,0.032
TRAIN-03089,False,304,38435.11,0,50,21,3,0.513
TRAIN-03090,False,12,61398.04,1,15,23,7,1.585
TRAIN-03091,False,94,31836.91,3,60,14,4,0.448
TRAIN-03092,False,263,34183.09,1,55,16,1,0.417
TRAIN-03093,False,347,45035.71,3,49,21,4,0.663
TRAIN-03094,False,105,23198.65,3,89,22,3,0.257
TRAIN-03095,False,258,56817.45,5,3,16,4,0.78
TRAIN-03096,False,12,63366.27,1,73,10,1,1.872
TRAIN-03097,False,234,4871.86,1,71,19,4,0.059
TRAIN-03098,False,280,64891.73,2,56,6,2,1.604
TRAIN-03099,False,32,57308.98,1,20,6,2,0.598
TRAIN-03100,False,298,43810.9,2,65,8,3,0.649
TRAIN-03101,False,275,69821.41,1,71,10,2,1.419
TRAIN-03102,False,105,58059.82,0,11,20,4,0.617
TRAIN-03103,False,274,32005.2,3,78,14,1,0.464
TRAIN-03104,False,81,2750.42,2,75,23,3,0.037
TRAIN-03105,False,45,50755.6,0,41,15,3,0.695
TRAIN-03106,False,355,1936.19,0,72,19,2,0.019
TRAIN-03107,False,307,13882.6,1,68,20,1,0.264
TRAIN-03108,False,311,40022.39,4,34,13,3,0.631
TRAIN-03109,False,143,49572.33,0,6,10,4,0.644
TRAIN-03110,False,39,35210.18,1,53,21,2,0.372
TRAIN-03111,False,198,47734.32,4,34,13,3,0.94
TRAIN-03112,False,331,39813.94,3,6,9,2,0.448
TRAIN-03113,False,298,69115.1,2,83,22,1,2.752
TRAIN-03114,False,230,58215.94,0,6,10,2,1.229
TRAIN-03115,False,229,66047.74,0,65,23,1,0.904
TRAIN-03116,False,34,34342.49,1,67,11,3,0.612
TRAIN-03117,False,90,49020.51,2,38,22,2,0.511
TRAIN-03118,False,339,63874.09,1,66,22,3,0.655
TRAIN-03119,False,290,14196.88,1,80,14,1,0.252
TRAIN-03120,False,2,32012.19,1,14,18,5,0.846
TRAIN-03121,False,242,30757.77,0,71,7,2,0.349
TRAIN-03122,False,123,47055.08,1,81,11,10,0.831
TRAIN-03123,False,345,67650.94,0,34,12,2,0.972
TRAIN-03124,False,323,48996.57,1,42,22,3,0.541
TRAIN-03125,False,4,6551.11,0,37,10,1,0.088
TRAIN-03126,False,192,16513.75,1,74,8,7,0.45
TRAIN-03127,False,115,34660.44,0,23,23,6,0.512
TRAIN-03128,False,208,61807.4,4,7,13,3,0.839
TRAIN-03129,False,230,557.3,4,37,13,2,0.016
TRAIN-03130,False,354,23471.23,0,28,19,1,0.288
TRAIN-03131,False,359,40192.74,1,47,14,3,0.411
TRAIN-03132,False,205,62116.64,0,65,23,1,1.208
TRAIN-03133,False,292,34156.82,1,66,17,1,0.436
TRAIN-03134,False,211,11844.13,0,16,13,2,0.221
TRAIN-03135,False,238,45521.77,1,67,19,1,1.491
TRAIN-03136,False,191,43820.02,1,62,11,1,1.522
TRAIN-03137,False,132,14356.65,1,23,11,8,0.213
TRAIN-03138,False,66,1325.43,1,9,20,7,0.02
TRAIN-03139,False,209,13680.59,3,48,10,3,0.17
TRAIN-03140,False,281,18972.15,0,70,21,5,0.345
TRAIN-03141,False,264,35067.35,1,78,11,2,0.42
TRAIN-03142,False,7,22932.54,0,67,11,1,0.239
TRAIN-03143,False,129,67193.35,3,12,16,1,1.04
TRAIN-03144,False,98,73215.59,1,19,10,2,2.692
TRAIN-03145,False,35,22074.67,0,84,20,6,0.613
TRAIN-03146,False,316,54466.06,4,39,13,5,0.603
TRAIN-03147,False,289,5768.41,0,2,12,2,0.085
TRAIN-03148,False,165,11846.78,1,69,21,1,0.171
TRAIN-03149,False,277,32891.02,0,85,18,1,0.408
TRAIN-03150,False,342,70516.71,0,1,16,3,0.902
TRAIN-03151,False,78,4643.03,0,43,13,1,0.049
TRAIN-03152,False,219,32393.98,4,13,14,3,0.453
TRAIN-03153,False,65,68695.34,1,69,7,3,0.769
TRAIN-03154,False,206,40279.13,3,10,21,3,0.927
TRAIN-03155,False,2,33918.46,1,12,22,2,0.678
TRAIN-03156,False,246,11893.67,2,82,15,5,0.466
TRAIN-03157,False,127,59757.5,0,32,9,4,1.223
TRAIN-03158,False,38,49420.31,1,79,16,5,1.531
TRAIN-03159,False,27,37466.95,1,82,11,1,0.377
TRAIN-03160,False,180,5127.19,1,73,11,8,0.142
TRAIN-03161,False,171,62582.79,2,74,8,3,0.983
TRAIN-03162,False,100,16142.56,0,38,11,5,0.182
TRAIN-03163,False,159,20992.09,1,70,6,4,0.339
TRAIN-03164,False,14,33572.89,4,53,10,4,0.69
TRAIN-03165,False,34,69263.87,3,88,21,2,2.255
TRAIN-03166,False,312,5811.29,1,4,23,5,0.059
TRAIN-03167,False,46,36507.43,0,84,11,5,0.525
TRAIN-03168,False,41,20464.85,0,32,7,3,0.671
TRAIN-03169,False,182,38411.82,0,69,8,4,0.449
TRAIN-03170,False,165,67192.22,1,34,18,3,1.539
TRAIN-03171,False,342,9214.5,0,82,21,5,0.366
TRAIN-03172,False,146,1342.44,0,1,15,2,0.028
TRAIN-03173,False,277,21083.71,0,31,23,1,0.678
TRAIN-03174,False,277,2297.96,0,48,18,4,0.028
TRAIN-03175,False,21,18271.78,0,69,23,2,0.19
TRAIN-03176,False,322,72921.59,2,84,20,2,2.812
TRAIN-03177,False,201,24466.35,1,43,8,8,0.456
TRAIN-03178,False,355,33081.04,1,26,13,2,0.587
TRAIN-03179,False,103,4634.29,0,59,15,1,0.175
TRAIN-03180,False,260,67550.2,2,55,21,1,0.855
TRAIN-03181,False,310,42099.99,5,5,11,1,0.554
TRAIN-03182,False,61,45161.65,1,69,15,5,1.461
TRAIN-03183,False,103,51215.83,4,49,18,1,1.021
TRAIN-03184,False,142,41739.09,1,43,11,5,0.969
TRAIN-03185,False,337,9388.21,1,51,7,1,0.159
TRAIN-03186,False,351,50581.56,0,2,16,1,0.545
TRAIN-03187,False,348,1022.28,1,34,17,4,0.022
TRAIN-03188,False,358,71914.21,0,68,10,6,0.78
TRAIN-03189,False,41,33562.58,0,49,8,5,0.494
TRAIN-03190,False,125,43455.14,1,62,18,10,1.244
TRAIN-03191,False,209,13895.25,0,73,18,6,0.266
TRAIN-03192,False,7,10771.16,0,68,15,1,0.203
TRAIN-03193,False,285,68087.59,0,49,22,2,1.367
TRAIN-03194,False,27,29806.12,0,50,13,2,1.163
TRAIN-03195,False,23,10130.29,1,82,8,3,0.177
TRAIN-03196,False,5,46976.4,1,1,12,3,0.677
TRAIN-03197,False,85,4873.32,2,81,6,1,0.139
TRAIN-03198,False,312,20040.78,0,25,20,4,0.296
TRAIN-03199,False,357,45010.46,0,14,11,8,1.6
TRAIN-03200,False,320,53887.28,1,17,20,2,0.626
TRAIN-03201,False,253,70116.13,2,32,14,9,1.012
TRAIN-03202,False,71,3766.43,0,71,15,3,0.04
TRAIN-03203,False,116,38777.71,0,2,23,1,0.587
TRAIN-03204,False,200,26415.63,0,27,15,6,0.299
TRAIN-03205,False,170,30161.2,1,21,17,1,0.486
TRAIN-03206,False,254,4398.8,2,48,6,1,0.051
TRAIN-03207,False,53,60909.08,3,39,23,2,1.04
TRAIN-03208,False,152,33943.78,1,53,18,1,0.854
TRAIN-03209,False,33,27764.95,0,9,17,7,0.365
TRAIN-03210,False,35,33370.82,2,81,8,2,0.39
TRAIN-03211,False,162,32031.88,0,56,7,2,0.833
TRAIN-03212,False,155,6091.47,0,41,15,2,0.136
TRAIN-03213,False,364,28465.52,0,46,12,1,0.331
TRAIN-03214,False,356,70453.2,4,74,7,2,1.184
TRAIN-03215,False,294,70051.4,0,82,22,3,1.08
TRAIN-03216,False,223,72349.58,4,51,12,2,1.337
TRAIN-03217,False,64,41752.81,0,41,21,1,0.555
TRAIN-03218,False,236,30001.11,4,47,20,1,0.771
TRAIN-03219,False,125,74539.61,2,60,8,2,1.72
TRAIN-03220,False,4,60525.45,0,23,11,1,1.164
TRAIN-03221,False,251,18521.22,0,18,21,1,0.243
TRAIN-03222,False,108,42631.42,3,37,14,1,0.473
TRAIN-03223,False,69,24500.92,2,50,20,2,0.274
TRAIN-03224,False,335,14418.96,0,60,13,3,0.184
TRAIN-03225,False,115,54209.29,3,83,10,1,1.264
TRAIN-03226,False,94,2115.99,0,88,6,1,0.03
TRAIN-03227,False,117,57205.33,0,35,15,1,0.589
TRAIN-03228,False,254,49658.3,1,67,10,6,1.934
TRAIN-03229,False,345,36503.72,3,10,16,5,0.476
TRAIN-03230,False,65,67304.09,0,56,16,2,0.877
TRAIN-03231,False,319,5673.28,1,28,9,1,0.072
TRAIN-03232,False,202,59250.88,5,27,10,1,0.724
TRAIN-03233,False,321,54490.62,0,16,21,2,0.908
TRAIN-03234,False,105,70472.89,1,64,7,7,1.278
TRAIN-03235,False,153,54893.44,0,56,6,1,1.053
TRAIN-03236,False,122,28694.68,0,78,16,1,0.457
TRAIN-03237,False,156,10577.77,0,4,21,4,0.224
TRAIN-03238,False,28,10354.59,1,2,19,2,0.126
TRAIN-03239,False,260,12941.83,1,17,17,3,0.514
TRAIN-03240,False,221,62365.28,0,5,13,4,1.586
TRAIN-03241,False,261,49845.8,0,51,14,7,0.626
TRAIN-03242,False,145,43238.91,0,76,21,3,1.063
TRAIN-03243,False,268,69435.71,5,89,21,4,0.79
TRAIN-03244,False,363,21195.83,5,9,14,3,0.272
TRAIN-03245,False,219,3061.44,2,40,16,1,0.066
TRAIN-03246,False,360,60132.46,0,53,19,1,1.74
TRAIN-03247,False,114,73164.3,0,48,9,1,1.99
TRAIN-03248,False,281,44136.43,4,68,8,3,0.473
TRAIN-03249,False,169,46385.88,1,43,13,1,1.833
TRAIN-03250,False,38,14092.71,1,89,11,1,0.357
TRAIN-03251,False,303,72926.6,2,38,21,2,0.838
TRAIN-03252,False,327,12540.35,0,59,22,3,0.421
TRAIN-03253,False,263,58189.17,1,16,12,2,0.795
TRAIN-03254,False,333,36489.38,0,69,15,1,0.569
TRAIN-03255,False,197,52465.87,5,25,14,3,0.995
TRAIN-03256,False,157,35331.63,5,76,23,8,0.362
TRAIN-03257,False,201,2325.36,2,65,19,3,0.032
TRAIN-03258,False,291,58240.81,0,86,23,1,2.304
TRAIN-03259,False,318,64426.96,1,25,18,5,2.237
TRAIN-03260,False,279,4921.87,3,53,8,2,0.141
TRAIN-03261,False,51,31692.75,0,40,20,3,0.571
TRAIN-03262,False,143,25125.53,2,66,18,2,0.309
TRAIN-03263,False,184,66690.83,0,22,14,2,1.463
